,spanish,english
274,hora,hour
275,muchas,many
276,pueblo,town
277,alguna,some
278,dar,give
279,problema,issue
280,don,Don
281,da,gives
282,tú,your
283,derecho,right
284,verdad,TRUE
285,maría,Mary
286,unidos,United
287,podría,might
288,sería,would
289,junto,together
290,cabeza,head
291,aquel,that
292,luis,Lewis
293,cuanto,how much
294,tierra,Earth
295,equipo,team
296,segundo,second
297,director,director
298,dicho,saying
299,cierto,certain
300,casos,cases
301,manos,hands
302,nivel,level
303,podía,could
304,familia,family
305,largo,long
306,partir,leave
307,falta,lack
308,llegar,to get
309,propio,own
310,ministro,Minister
311,cosa,stuff
312,primero,first
313,seguridad,security
314,hemos,we have
315,mal,wrong
316,trata,treats
317,algún,some
318,tuvo,He had
319,respecto,regard
320,semana,week
321,varios,several
322,real,real
323,sé,HE
324,voz,voice
325,paso,He passed
326,señor,mister
327,mil,one thousand
328,quienes,who is
329,proyecto,Project
330,mercado,market
331,mayoría,most
332,luz,light
333,claro,Clear
334,iba,I was going
335,éste,East
336,pesetas,pesetas
337,orden,order
338,español,Spanish
339,buena,good
340,quiere,wants
341,aquella,that
342,programa,Program
343,palabras,words
344,internacional,international
345,van,go
346,esas,those
347,segunda,second
348,empresa,company
349,puesto,Market Stall
350,ahí,there
351,propia,own
352,m,m
353,libro,book
354,igual,same
355,político,political
356,persona,person
357,últimos,last
358,ellas,they
359,total,total
360,creo,believe
361,tengo,I've got
362,dios,God
363,c,c
364,española,Spanish
365,condiciones,conditions
366,méxico,Mexico
367,fuerza,force
368,solo,only
369,único,unique
370,acción,action
371,amor,love
372,policía,police
373,puerta,gate
374,pesar,weigh
375,zona,zone
376,sabe,knows
377,calle,street
378,interior,inside
379,tampoco,either
380,música,music
381,ningún,none
382,vista,sight
383,campo,field
384,buen,good
385,hubiera,had
386,saber,know
387,obras,plays
388,razón,reason
389,ex,ex
390,niños,children
391,presencia,presence
392,tema,issue
393,dinero,money
394,comisión,commission
395,antonio,Antonio
396,servicio,service
397,hijo,son
398,última,last
399,ciento,hundred
400,estoy,am
401,hablar,speak
402,dio,it gave
403,minutos,minutes
404,producción,production
405,camino,road
406,seis,six
407,quién,who
408,fondo,bottom
409,dirección,address
410,papel,paper
411,demás,the rest
412,barcelona,Barcelona
413,idea,idea
414,especial,special
415,diferentes,different
416,dado,given
417,base,base
418,capital,capital
419,ambos,both of them
420,europa,Europe
421,libertad,Liberty
422,relaciones,relations
423,espacio,space
424,medios,media
425,ir,go
426,actual,current
427,población,population
428,empresas,Business
429,estudio,study
430,salud,Health
431,servicios,services
432,haya,is
433,principio,beginning
434,siendo,being
435,cultura,culture
436,anterior,former
437,alto,high
438,media,half
439,mediante,through
440,primeros,first
441,arte,art
442,paz,peace
443,sector,sector
444,imagen,picture
445,medida,extent
446,deben,They must
447,datos,data
448,consejo,tip
449,personal,staff
450,interés,interest
451,julio,July
452,grupos,groups
453,miembros,members
454,ninguna,none
455,existe,exists
456,cara,face
457,edad,age
458,etc,etc
459,movimiento,motion
460,visto,viewed
461,llegó,I arrive
462,puntos,points
463,actividad,activity
464,bueno,well
465,uso,use
466,niño,kid
467,difícil,hard
468,joven,young
469,futuro,future
470,aquellos,those
471,mes,month
472,pronto,early
473,soy,am
474,hacía,toward
475,nuevos,new
476,nuestros,our
477,estaban,were
478,posibilidad,possibility
479,sigue,go on
480,cerca,close
481,resultados,results
482,educación,education
483,atención,attention
484,gonzález,González
485,capacidad,ability
486,efecto,effect
487,necesario,necessary
488,valor,worth
489,aire,air
490,investigación,research
491,siguiente,Next
492,figura,figure
493,central,central
494,comunidad,community
495,necesidad,need
496,serie,Serie
497,organización,organization
498,nuevas,new
499,calidad,quality
500,economía,economy
501,carácter,character
502,jefe,chief
503,estamos,we're
504,prensa,press
505,control,control
506,sociales,social
507,universidad,college
508,militar,military man
509,cabo,cape
510,diez,ten
511,fuerzas,forces
512,congreso,congress
513,ésta,is
514,hijos,children
515,justicia,Justice
516,mundial,world
517,dólares,Dollars
518,juego,match
519,económica,economic
520,políticos,politicians
521,duda,doubt
522,recursos,means
523,pública,public
524,crisis,crisis
525,próximo,next
526,tenemos,we have
527,decisión,decision
528,varias,several
529,popular,popular
530,tenido,Dyed
531,apenas,barely
532,época,epoch
533,banco,bank
534,presente,Present
535,menor,minor
536,quiero,want
537,pasar,happen
538,resultado,result
539,televisión,TV
540,encuentra,finds
541,gracias,Thank you
542,ministerio,ministry
543,conjunto,set
544,defensa,defending
545,alguien,somebody
546,queda,is left over
547,hacen,make
548,pasa,happens
549,resto,rest
550,causa,cause
551,seguir,follow up
552,allá,there
553,palabra,word
554,voy,I go
555,cuya,whose
556,vamos,come on
557,mar,sea
558,estudios,studies
559,derechos,Rights
560,importancia,importance
561,cuales,which
562,contrario,contrary
563,manuel,Manuel
564,garcía,Garcia
565,fuerte,strong
566,sol,sun
567,jóvenes,youths
568,apoyo,support for
569,habría,there would be
570,civil,civil
571,miguel,Michael
572,pedro,Peter
573,partidos,matches
574,libre,free
575,fuentes,sources
576,administración,management
577,común,common
578,dejar,let
579,cine,cinema
580,salir,go out
581,comunicación,communication
582,b,b
583,experiencia,experience
584,demasiado,too
585,plan,plan
586,respuesta,reply
587,energía,Energy
588,izquierda,left
589,función,function
590,principal,principal
591,superior,higher
592,naturaleza,nature
593,podemos,can
594,unión,Union
595,especialmente,especially
596,rey,king
597,domingo,Sunday
598,favor,favor
599,cantidad,amount
600,elecciones,elections
601,clase,class
602,productos,products
603,españoles,Spanish people
604,conocer,know
605,teatro,theater
606,importantes,important
607,evitar,avoid
608,color,Colour
609,actividades,activities
610,mesa,desk
611,p,p
612,decía,He said
613,cuyo,whose
614,debido,due
615,alta,high
616,francisco,Francisco
617,secretario,secretary
618,objeto,object
619,quizá,Maybe
620,posición,position
621,parecía,looked like
622,natural,natural
623,elementos,items
624,hubo,there was
625,objetivo,aim
626,formas,shapes
627,única,only
628,pueda,I can
629,origen,source
630,blanco,white
631,mismos,same
632,lleva,carries
633,económico,economic
634,opinión,opinion
635,ayuda,help
636,oficial,official
637,silencio,silence
638,buenos,good ones
639,pensar,think
640,república,republic
641,dónde,where
642,sangre,blood
643,encuentro,meeting
644,siquiera,even
645,autor,Author
646,reunión,meeting
647,haciendo,doing
648,suelo,I usually
649,muestra,sample
650,viejo,old
651,encima,on
652,resulta,result
653,tomar,drink
654,bastante,pretty
655,siete,seven
656,lucha,struggle
657,pudo,could
658,amigos,friends
659,línea,line
660,sur,south
661,pocos,few
662,medidas,measures
663,norte,north
664,partes,Parties
665,iglesia,church
666,tratamiento,treatment
667,existencia,existence
668,cargo,post
669,grande,great
670,américa,America
671,boca,mouth
672,plaza,square
673,pie,foot
674,trabajadores,workers
675,poner,put
676,existen,exist
677,viene,comes
678,permite,It allows
679,análisis,analysis
680,argentina,Argentina
681,acto,act
682,hechos,facts
683,tiempos,time
684,políticas,policies
685,radio,radio
686,puedo,may l
687,crecimiento,growth
688,francia,France
689,compañía,company
690,amigo,friend
691,autoridades,authorities
692,realizar,realize
693,acciones,Actions
694,padres,parents
695,diario,daily
696,ve,go
697,derecha,right
698,ambiente,ambient
699,i,Yo
700,habrá,there will be
701,precisamente,precisely
702,enfermedad,illness
703,especie,species
704,ejército,army
705,santa,Holy
706,cambios,changes
707,río,River
708,sabía,knew
709,seguro,sure
710,espera,wait
711,momentos,Moments
712,viaje,trip
713,quería,wanted
714,ocho,eight
715,vivir,to live
716,región,region
717,formación,training
718,escuela,school
719,cuarto,bedroom
720,valores,values
721,quedó,It was
722,participación,stake
723,éxito,success
724,baja,short
725,artículo,Article
726,principales,main
727,fernando,Fernando
728,metros,meters
729,marcha,March
730,régimen,regime
731,consecuencia,consequence
732,conocimiento,knowledge
733,corazón,heart
734,campaña,campaign
735,estructura,structure
736,efectos,effects
737,finalmente,Finally
738,modelo,model
739,carta,letter
740,construcción,building
741,médico,doctor
742,miedo,fear
743,mayores,greater
744,entrada,entry
745,humanos,humans
746,sean,Sean
747,actitud,attitude
748,deja,leaves
749,dejó,let
750,d,d
751,llevar,carry
752,negro,black
753,texto,text
754,mitad,half
755,estuvo,he was
756,alrededor,around
757,acerca,about
758,peso,weight
759,humano,human
760,pequeño,little
761,fecha,date
762,serán,will be
763,doctor,doctor
764,ideas,Ideas
765,vino,wine
766,materia,matter
767,llega,arrives
768,carrera,race
769,cierta,true
770,sola,alone
771,psoe,PSOE
772,lejos,far
773,juez,judge
774,características,characteristics
775,riesgo,risk
776,fácil,easy
777,diferencia,difference
778,cultural,cultural
779,libros,books
780,práctica,practice
781,mayo,May
782,nuestras,ours
783,programas,programs
784,memoria,memory
785,llegado,arrived
786,plazo,term
787,expresión,expression
788,diciembre,December
789,mantener,keep
790,enero,January
791,volver,return
792,cuadro,chart
793,producto,product
794,produce,produces
795,europea,European
796,conciencia,conscience
797,tenían,They had
798,atrás,behind
799,felipe,Felipe
800,creación,creation
801,chile,Chile
802,precio,price
803,película,movie
804,puerto,port
805,fuego,fire
806,cuestión,question
807,pasó,He passed
808,costa,coast
809,supuesto,supposed
810,local,local
811,habla,speaks
812,aspectos,aspects
813,cuba,Cuba
814,sala,living room
815,cámara,camera
816,vuelta,return
817,vía,via
818,mirada,look
819,mejores,top
820,informe,report
821,unidad,Unit
822,distintos,different
823,suerte,luck
824,tales,such
825,mira,look
826,llamado,called
827,técnica,technique
828,título,title
829,s,s
830,principios,beginning
831,octubre,October
832,volvió,went back
833,período,period
834,g,g
835,encontrar,meet
836,democracia,democracy
837,aumento,increase
838,fútbol,football
839,prueba,Test
840,consumo,consumption
841,pese,I weighed
842,ocasiones,occasions
843,exterior,Exterior
844,solución,solution
845,u,or
846,hija,daughter
847,sueño,sleep
848,parís,Paris
849,capaz,capable
850,ocasión,chance
851,industria,industry
852,adelante,forward
853,salida,exit
854,ciencia,science
855,asunto,business
856,asociación,association
857,puso,put
858,intereses,interests
859,oro,Prayed
860,podrá,can
861,pregunta,Question
862,oposición,opposition
863,entrar,get in
864,señora,Ms
865,señaló,he pointed
866,santiago,Santiago
867,dolor,pain
868,zonas,zones
869,comercio,Commerce
870,operación,operation
871,tribunal,court
872,instituciones,institutions
873,temas,topics
874,militares,military
875,junio,june
876,marco,framework
877,sectores,sectors
878,hacerlo,do it
879,aspecto,aspect
880,razones,reasons
881,contenido,contents
882,juicio,judgment
883,electoral,electoral
884,considera,considers
885,tendrá,will have
886,mucha,a lot
887,voluntad,Will
888,dicen,They say
889,recuerdo,I remember
890,socialista,socialist
891,área,area
892,aparece,appears
893,vio,he saw
894,cama,bed
895,aun,still
896,presenta,presents
897,pp,pp
898,revolución,revolution
899,busca,search
900,abril,april
901,rodríguez,Rodríguez
902,fiscal,fiscal
903,lópez,López
904,victoria,victory
905,violencia,violence
906,primeras,first
907,pequeña,little
908,armas,weapons
909,debía,should
910,ii,II
911,esfuerzo,effort
912,humana,human
913,posibilidades,possibilities
914,centros,centers
915,profesional,professional
916,asimismo,in addition
917,grado,grade
918,has,you have
919,toma,taking
920,distintas,different
921,material,material
922,carne,meat
923,llama,call
924,particular,particular
925,jorge,George
926,trabajar,to work
927,propuesta,proposal
928,muerto,dead
929,precios,prices
930,reforma,reform
931,hermano,brother
932,corte,court
933,comenzó,started
934,etapa,stage
935,obstante,However
936,pone,places
937,diversos,diverse
938,visita,visit
939,concepto,concept
940,pacientes,patients
941,semanas,weeks
942,tipos,guys
943,solamente,only
944,deseo,desire
945,sistemas,systems
946,encuentran,find
947,siguientes,following
948,martín,Martin
949,suficiente,enough
950,marzo,march
951,propios,own
952,jamás,Never
953,dan,give
954,club,club
955,instituto,Institute
956,constitución,Constitution
957,curso,course
958,lenguaje,language
959,estilo,style
960,rosa,pink
961,imposible,impossible
962,pablo,Paul
963,buscar,fetch
964,peor,worse
965,piel,fur
966,arriba,above
967,generales,General
968,septiembre,september
969,blanca,white
970,r,r
971,aquellas,those
972,teoría,theory
973,animales,animals
974,hicieron,they made
975,larga,long
976,perdido,lost
977,imágenes,images
978,paciente,patient
979,conseguir,get
980,máximo,maximum
981,noviembre,november
982,j,J
983,líder,Leader
984,hospital,hospital
985,diversas,diverse
986,rafael,Rafael
987,vuelve,returns
988,destino,destination
989,torno,turnstile
990,proyectos,Projects
991,flores,flowers
992,niveles,levels
993,afirmó,he claimed
994,explicó,explained
995,n,n
996,somos,we are
997,términos,terms
998,premio,reward
999,tercera,third
1000,simple,simple
1001,trabajos,works
1002,factores,Factors
1003,fuente,font
1004,cielo,darling
1005,ambas,both
1006,mismas,same
1007,fernández,Fernández
1008,actualmente,now
1009,conocido,known
1010,condición,condition
1011,ejercicio,exercise
1012,cree,Believe
1013,par,pair
1014,ocurre,occurs
1015,ti,you
1016,espíritu,spirit
1017,lengua,language
1018,responsabilidad,responsibility
1019,digo,say
1020,pérez,Pérez
1021,distancia,distance
1022,organismo,organism
1023,cruz,cross
1024,evolución,evolution
1025,realmente,Really
1026,alberto,Alberto
1027,francés,French
1028,novela,novel
1029,alma,soul
1030,doble,double
1031,anteriores,above
1032,obtener,obtain
1033,dije,I said
1034,selección,selection
1035,podido,I have
1036,nación,nation
1037,ido,gone
1038,crear,to create
1039,motivo,reason
1040,tercer,third
1041,detrás,behind
1042,significa,it means
1043,empleo,job
1044,escrito,written
1045,departamento,department
1046,contacto,Contact
1047,casas,houses
1048,red,grid
1049,rostro,face
1050,oportunidad,chance
1051,procesos,processes
1052,terreno,land
1053,daba,gave
1054,calles,streets
1055,lista,ready
1056,nacionales,National
1057,funciones,Functions
1058,leyes,Laws
1059,acceso,access
1060,técnico,technical
1061,visión,view
1062,preguntó,I ask
1063,jesús,Jesus
1064,grave,serious
1065,tenga,have
1066,lunes,monday
1067,aplicación,application
1068,junta,meeting
1069,lugares,places
1070,verano,summer
1071,capítulo,chapter
1072,éstos,these
1073,pensamiento,thought
1074,york,York
1075,frecuencia,frequency
1076,gestión,management
1077,viernes,friday
1078,javier,Javier
1079,sitio,place
1080,agosto,August
1081,propiedad,property
1082,profesionales,professionals
1083,últimas,Last
1084,gusta,like
1085,objetivos,objectives
1086,movimientos,Movements
1087,alcalde,mayor
1088,ejecutivo,executive
1089,ciudadanos,Citizens
1090,necesidades,needs
1091,exposición,exposition
1092,término,finished
1093,veinte,twenty
1094,cuál,which
1095,clara,clear
1096,altura,height
1097,pequeños,little ones
1098,presión,Pressure
1099,moral,moral
1100,lograr,achieve
1101,comité,committee
1102,teléfono,phone
1103,asuntos,matters
1104,peligro,danger
1105,escena,scene
1106,gusto,taste
1107,palacio,palace
1108,hotel,hotel
1109,colombia,Colombia
1110,aseguró,assured
1111,isla,island
1112,guardia,guard
1113,confianza,confidence
1114,ciudades,cities
1115,esperar,wait
1116,café,coffee
1117,demanda,demand
1118,personajes,characters
1119,directamente,directly
1120,salió,he left
1121,discurso,speech
1122,sánchez,Sanchez
1123,representantes,Representatives
1124,normal,normal
1125,pena,pain
1126,jugadores,players
1127,supone,It supposes
1128,industrial,industrial
1129,referencia,reference
1130,febrero,February
1131,entender,to understand
1132,esté,East
1133,física,physical
1134,dejado,left
1135,alimentos,foods
1136,pies,feet
1137,doña,Mrs
1138,protección,protection
1139,autores,authors
1140,marido,husband
1141,podrían,could
1142,llamada,call
1143,brazos,arms
1144,intervención,intervention
1145,sal,Salt
1146,páginas,pages
1147,nueve,nine
1148,pueblos,peoples
1149,temporada,season
1150,tus,your
1151,abajo,bottom
1152,aquello,that
1153,maestro,teacher
1154,internacionales,International
1155,técnicas,techniques
1156,estás,these
1157,esposa,wife
1158,crítica,criticism
1159,totalmente,completely
1160,perder,to lose
1161,venta,sale
1162,finales,Finals
1163,ramón,Ramón
1164,contar,count
1165,diferencias,Differences
1166,familiar,familiar
1167,martínez,Martínez
1168,kilómetros,kilometres
1169,mala,bad
1170,fundamental,fundamental
1171,enorme,enormous
1172,puedan,can
1173,líneas,lines
1174,ofrece,offers
1175,comercial,commercial
1176,pan,bread
1177,aires,AIRES
1178,profesor,professor
1179,inversión,investment
1180,municipal,municipal
1181,declaraciones,Declarations
1182,funcionarios,Officials
1183,aguas,Waters
1184,responsable,responsible
1185,sábado,Saturday
1186,alguno,some
1187,federal,federal
1188,señala,Point out
1189,conflicto,conflict
1190,dicha,bliss
1191,efe,EFE
1192,dirigentes,leaders
1193,cambiar,change
1194,superficie,surface
1195,necesita,needs to
1196,estudiantes,students
1197,tantos,so many
1198,golpe,blow
1199,públicos,public
1200,públicas,public
1201,equipos,teams
1202,literatura,literature
1203,pruebas,testing
1204,alemania,Germany
1205,circunstancias,circumstances
1206,tienes,have
1207,documento,document
1208,fiesta,party
1209,simplemente,simply
1210,enrique,Enrique
1211,aceite,oil
1212,establecer,set
1213,médicos,doctors
1214,eres,are
1215,locales,local
1216,empezó,it started
1217,pobre,poor
1218,debería,should
1219,llevó,I have
1220,parlamento,parliament
1221,territorio,territory
1222,sale,comes out
1223,treinta,thirty
1224,coche,car
1225,clases,lessons
1226,afirma,it states
1227,oficiales,Officers
1228,diálogo,dialogue
1229,vi,saw
1230,respeto,I respect
1231,tratado,treaty
1232,llevaba,I had
1233,revista,magazine
1234,copa,Cup
1235,pintura,paintwork
1236,nombres,Names
1237,propósito,purpose
1238,leche,milk
1239,actualidad,present
1240,constituye,It constitutes
1241,tarea,homework
1242,alcanzar,reach
1243,competencia,competence
1244,normas,rules
1245,plata,silver
1246,vecinos,neighbors
1247,fenómeno,freak
1248,intención,intention
1249,dando,giving
1250,diputados,Deputies
1251,judicial,judicial
1252,cualquiera,any
1253,fe,faith
1254,jornada,working day
1255,italia,Italy
1256,ganar,To win
1257,candidato,candidate
1258,calor,heat
1259,esperanza,hope
1260,recién,newly
1261,suele,usually
1262,miles,Thousands
1263,ritmo,rhythm
1264,vive,it lives
1265,quizás,maybe
1266,pasos,Steps
1267,sensación,sensation
1268,representación,representation
1269,presidencia,presidency
1270,triunfo,triumph
1271,ayuntamiento,town hall
1272,plantas,plants
1273,niña,girl
1274,frío,cold
1275,tono,tone
1276,compañeros,companions
1277,quieren,They want
1278,pesos,pesos
1279,delante,in front of
1280,propias,own
1281,plano,flat
1282,enfermedades,diseases
1283,institución,institution
1284,edificio,building
1285,nota,note
1286,franco,Frank
1287,jugar,play
1288,the,The
1289,representa,It represents
1290,gesto,gesture
1291,mensaje,message
1292,vasco,Basque
1293,pudiera,could
1294,gómez,Gómez
1295,influencia,influence
1296,pocas,few
1297,realizado,accomplished
1298,conducta,conduct
1299,objetos,objects
1300,tamaño,size
1301,provincia,Province
1302,europeo,European
1303,verde,green
1304,informó,reported
1305,escribir,to write
1306,materiales,materials
1307,eduardo,Eduardo
1308,cumplir,comply
1309,pidió,asked
1310,alumnos,students
1311,ámbito,ambit
1312,muertos,dead
1313,explica,Explain
1314,consecuencias,consequences
1315,refiere,refers
1316,comer,eat
1317,fines,purposes
1318,versión,version
1319,abierto,opened
1320,debate,debate
1321,barrio,neighborhood
1322,labor,work
1323,fondos,money
1324,justo,just
1325,tradición,tradition
1326,diferente,different
1327,piensa,think
1328,tecnología,technology
1329,mantiene,maintains
1330,situaciones,situations
1331,fase,phase
1332,histórico,historical
1333,agentes,Agents
1334,planta,plant
1335,venezuela,Venezuela
1336,f,F
1337,actuación,performance
1338,iban,were going
1339,actos,Acts
1340,posibles,possible
1341,león,Lion
1342,mamá,breast
1343,velocidad,speed
1344,familiares,family
1345,especies,species
1346,cabe,It fits
1347,asamblea,Assembly
1348,comunidades,communities
1349,museo,museum
1350,conferencia,conference
1351,prácticamente,practically
1352,autoridad,authority
1353,sujeto,subject
1354,alfonso,Alfonso
1355,tratar,try
1356,hacerse,to be made
1357,pérdida,loss
1358,dificultades,difficulties
1359,rato,a while
1360,pagar,to pay
1361,colegio,college
1362,sabes,You know
1363,l,l
1364,personaje,character
1365,áreas,areas
1366,audiencia,audience
1367,doce,twelve o'clock
1368,haga,make
1369,periódico,Newspaper
1370,v,v
1371,distribución,distribution
1372,ausencia,absence
1373,entrevista,interview
1374,recibió,He received
1375,añadió,added
1376,cocina,kitchen room
1377,edición,edition
1378,económicos,economic
1379,naturales,Natural
1380,parecer,look
1381,santo,holy
1382,vieja,old woman
1383,mario,Mario
1384,corresponde,corresponds
1385,decidió,He decided
1386,perú,Peru
1387,llegada,arrival
1388,comienza,begins
1389,organizaciones,Organizations
1390,tendencia,trend
1391,escenario,stage
1392,definitiva,definitive
1393,deberá,must
1394,indicó,Indian
1395,noticia,News
1396,inglés,English
1397,reina,Queen
1398,ustedes,you guys
1399,madera,wood
1400,alemán,German
1401,habitantes,population
1402,recibir,receive
1403,salvo,except
1404,familias,families
1405,miembro,member
1406,escritor,writer
1407,conoce,known
1408,cuidado,care
1409,identidad,identity
1410,quiso,He wanted
1411,pareja,partner
1412,evidente,evident
1413,brasil,Brazil
1414,ciertos,some
1415,siguen,They continue
1416,declaración,declaration
1417,cadena,string
1418,acaba,just
1419,consiste,consists
1420,presentación,presentation
1421,cuentas,accounts
1422,azul,blue
1423,década,decade
1424,puertas,doors
1425,comida,food
1426,inmediato,immediate
1427,marca,brand
1428,antiguo,ancient
1429,rojo,red
1430,debemos,we must
1431,instante,instant
1432,operaciones,operations
1433,iniciativa,initiative
1434,caer,fall out
1435,luna,Moon
1436,veía,I saw
1437,verdadero,TRUE
1438,habitación,room
1439,manifestó,He said
1440,tío,uncle
1441,quedado,left
1442,martes,Tuesday
1443,pleno,full
1444,declaró,declared
1445,juegos,games
1446,mínimo,minimum
1447,aparición,appearance
1448,estará,will be
1449,transporte,transport
1450,ven,come
1451,pretende,aims to
1452,tantas,many
1453,sede,campus
1454,comportamiento,behaviour
1455,periodistas,journalists
1456,animal,animal
1457,convertido,converted
1458,brazo,arm
1459,hermanos,brothers
1460,rico,rich
1461,anunció,advertisement
1462,presupuesto,budget
1463,estrategia,strategy
1464,naciones,nations
1465,utilizar,use
1466,buenas,good
1467,compromiso,commitment
1468,acaso,perhaps
1469,completo,complete
1470,pelo,hair
1471,piedra,stone
1472,medicina,medicine
1473,campos,fields
1474,liga,league
1475,vaya,wow
1476,disposición,provision
1477,permanente,permanent
1478,método,method
1479,sentía,I felt
1480,próxima,next
1481,tierras,land
1482,error,error
1483,incremento,increase
1484,piso,flat
1485,socialistas,Socialists
1486,similar,similar
1487,viento,wind
1488,salvador,savior
1489,seres,Beings
1490,posteriormente,later
1491,dispuesto,ready
1492,poeta,poet
1493,económicas,economic
1494,secreto,secret
1495,funcionamiento,functioning
1496,debajo,beneath
1497,recordar,remember
1498,valencia,Valencia
1499,presentó,presented
1500,jueves,Thursday
1501,corriente,stream
1502,ingresos,income
1503,intento,He tried
1504,tuvieron,They had
1505,colores,colors
1506,altos,High
1507,sevilla,Seville
1508,hojas,sheets
1509,probablemente,probably
1510,búsqueda,search
1511,pequeñas,little
1512,oferta,offer
1513,washington,Washington
1514,cataluña,Catalonia
1515,oficina,office
1516,produjo,produced
1517,soldados,soldiers
1518,pasada,pass
1519,volumen,volume
1520,parecen,they look like
1521,causas,Causes
1522,dieron,They gave
1523,división,division
1524,darle,give him
1525,clave,key
1526,ana,Ana
1527,reciente,recent
1528,votos,votes
1529,logró,achievement
1530,piernas,legs
1531,sirve,it serves
1532,carmen,Carmen
1533,deuda,debt
1534,noticias,news
1535,menores,minors
1536,querido,my love
1537,pago,I pay
1538,fig,Fig
1539,recuerda,remember
1540,podrán,will be able
1541,independencia,independence
1542,ataque,stroke
1543,igualmente,equally
1544,necesaria,necessary
1545,quedan,They remain
1546,regional,regional
1547,castro,Castro
1548,decisiones,decisions
1549,concepción,conception
1550,llegaron,They arrived
1551,siente,Feel
1552,juntos,together
1553,sabemos,we know
